                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.3922,                0.31901,                0.47336,                0.83309,                      1,                0.73837,                0.87193,                0.75412,                      1,                0.73837,                0.88335,                0.75016,                0.65872,                 1.4414,                 0.8903,                0.88594,              0.0018654,              0.0018654,              0.0018654
                     36,                0.39797,                0.34229,                0.46803,                0.83742,                0.82031,                0.78281,                0.86496,                0.74639,                0.82031,                0.78281,                0.86537,                0.72826,                0.68889,                 1.5298,                0.99149,                0.90464,              0.0018614,              0.0018614,              0.0018614
                     37,                0.41899,                0.35989,                0.48784,                 0.8403,                0.91401,                0.77143,                0.86965,                0.74594,                0.91401,                0.77143,                0.87002,                0.77323,                 0.6798,                 1.0839,                0.88219,                0.89958,              0.0018574,              0.0018574,              0.0018574
                     38,                0.40924,                0.33589,                 0.4638,                0.82537,                0.96789,                0.85714,                0.91789,                0.78462,                0.96789,                0.85714,                0.92067,                0.80602,                0.69305,                0.93461,                0.87657,                0.90232,              0.0018535,              0.0018535,              0.0018535
                     39,                 0.3936,                0.31604,                0.47175,                0.82161,                0.95537,                0.77143,                0.87137,                0.70552,                0.95537,                0.77143,                0.88625,                0.75077,                0.67944,                 1.0519,                0.94394,                0.89458,              0.0018495,              0.0018495,              0.0018495
                     40,                0.38401,                 0.2868,                0.45503,                0.82146,                0.96938,                0.90475,                0.93397,                0.80477,                0.96938,                0.90475,                0.94502,                0.81089,                0.68401,                 1.1898,                0.76428,                0.91539,              0.0018456,              0.0018456,              0.0018456
                     41,                0.38371,                0.27538,                0.43225,                0.81872,                0.93254,                0.91429,                 0.9253,                0.79162,                0.93254,                0.91429,                 0.9253,                 0.8083,                0.64762,                  1.157,                0.67683,                0.88299,              0.0018416,              0.0018416,              0.0018416
                     42,                0.39741,                0.27917,                0.43696,                0.83217,                0.93949,                 0.8873,                0.91866,                0.76626,                0.88389,                0.91429,                0.91428,                0.76854,                0.71217,                 1.2714,                0.69541,                0.90218,              0.0018376,              0.0018376,              0.0018376
                     43,                0.40201,                0.30031,                0.44582,                0.85072,                0.96875,                0.88566,                0.93649,                0.80395,                0.96875,                0.88566,                0.93649,                0.79734,                0.63762,                 1.1211,                 0.6337,                 0.8692,              0.0018337,              0.0018337,              0.0018337
                     44,                0.39218,                0.27314,                0.43072,                0.83245,                0.96642,                0.88571,                0.93429,                0.80495,                0.96642,                0.88571,                0.93429,                0.82691,                0.64443,                 1.1062,                0.65581,                0.87304,              0.0018297,              0.0018297,              0.0018297
                     45,                0.43887,                0.29623,                0.45124,                0.85164,                0.93922,                0.88571,                0.92437,                0.80573,                0.93922,                0.88571,                0.92437,                0.82623,                0.59752,                 1.0689,                0.65606,                 0.8579,              0.0018258,              0.0018258,              0.0018258
                     46,                0.39805,                 0.2812,                0.41923,                0.83875,                0.99908,                0.85714,                0.91086,                0.78808,                0.99908,                0.85714,                0.91086,                0.80521,                0.60683,                  1.159,                0.68497,                 0.8652,              0.0018218,              0.0018218,              0.0018218
                     47,                0.42756,                0.30023,                0.42829,                0.84331,                0.90535,                0.85714,                0.88643,                0.75611,                0.90535,                0.85714,                0.88643,                 0.8018,                0.67859,                 1.4217,                 0.6979,                0.89339,              0.0018178,              0.0018178,              0.0018178
                     48,                0.37607,                0.25065,                 0.4077,                0.82278,                0.91405,                0.85714,                0.91493,                0.78325,                0.91405,                0.85714,                0.91493,                0.82066,                0.60668,                 1.4957,                0.72472,                0.87759,              0.0018139,              0.0018139,              0.0018139
                     49,                0.39569,                0.26093,                0.42897,                0.84909,                0.89999,                    0.8,                0.89918,                0.78011,                0.88296,                    0.8,                0.90365,                0.76366,                 0.6312,                 1.6186,                0.86444,                0.88663,              0.0018099,              0.0018099,              0.0018099
                     50,                0.38418,                0.24889,                0.41025,                0.82001,                0.93011,                0.85714,                0.91688,                0.79477,                0.93011,                0.85714,                0.91985,                0.78177,                0.63114,                 1.5409,                0.68093,                0.89223,               0.001806,               0.001806,               0.001806
                     51,                0.37825,                0.26975,                0.39376,                0.82943,                0.95595,                0.94286,                 0.9516,                 0.8153,                0.95595,                0.94286,                 0.9516,                0.81975,                0.64395,                 1.3271,                0.62274,                0.90573,               0.001802,               0.001802,               0.001802
                     52,                0.36845,                0.26047,                0.38709,                0.83141,                      1,                0.94198,                0.96003,                 0.8415,                      1,                0.94198,                0.95552,                0.86252,                0.58875,                 1.0238,                0.60818,                0.89964,               0.001798,               0.001798,               0.001798
                     53,                0.38374,                0.26968,                0.38137,                0.83083,                0.96993,                0.94286,                0.96769,                0.82444,                0.96993,                0.94286,                0.96493,                0.85515,                0.60711,                0.93786,                0.61263,                 0.8966,              0.0017941,              0.0017941,              0.0017941
                     54,                0.38005,                0.30674,                0.39062,                0.83296,                0.93705,                0.94286,                0.96286,                0.81674,                0.93705,                0.94286,                0.96122,                0.85247,                0.61136,                0.86353,                0.54756,                0.89319,              0.0017901,              0.0017901,              0.0017901
                     55,                0.34153,                0.25977,                0.37523,                0.82616,                0.96266,                0.94286,                0.95368,                0.82951,                0.96266,                0.94286,                0.95368,                0.87276,                0.52851,                 0.7438,                0.57431,                0.86817,              0.0017862,              0.0017862,              0.0017862
                     56,                0.35123,                0.27728,                0.37736,                0.83046,                0.99375,                0.94286,                0.94919,                0.84159,                0.99375,                0.94286,                0.94919,                0.87156,                0.53583,                0.72711,                0.55737,                0.87776,              0.0017822,              0.0017822,              0.0017822
                     57,                0.34535,                0.27128,                0.36192,                0.84367,                0.94847,                0.94286,                0.94078,                0.82525,                0.94847,                0.94286,                   0.94,                0.86041,                0.57706,                0.78417,                0.61011,                0.87439,              0.0017782,              0.0017782,              0.0017782
                     58,                0.33807,                0.24943,                0.35483,                0.82757,                0.96485,                0.94286,                0.93573,                0.82465,                0.96485,                0.94286,                0.93573,                0.84617,                0.54856,                0.75648,                 0.5527,                0.85519,              0.0017743,              0.0017743,              0.0017743
                     59,                0.36707,                0.28025,                0.35562,                0.82186,                0.91232,                0.94286,                0.93491,                0.82189,                0.91232,                0.94286,                0.93491,                0.85285,                0.55696,                0.74585,                 0.5864,                 0.8532,              0.0017703,              0.0017703,              0.0017703
                     60,                0.34796,                0.28152,                0.35142,                0.81218,                0.96966,                0.91331,                0.93816,                0.84626,                0.96966,                0.91331,                0.93816,                0.86334,                0.52364,                0.65347,                0.54614,                0.85436,              0.0017664,              0.0017664,              0.0017664
                     61,                0.35161,                0.25104,                0.35311,                0.82418,                0.96701,                0.94286,                0.94295,                0.83631,                0.96701,                0.94286,                0.94295,                0.88657,                0.55919,                0.67297,                0.51979,                0.87279,              0.0017624,              0.0017624,              0.0017624
                     62,                0.32816,                0.28602,                0.33864,                0.83556,                 0.9705,                0.94009,                0.94324,                0.82321,                 0.9705,                0.94009,                0.94324,                0.85075,                0.56939,                0.85263,                0.55154,                 0.8723,              0.0017584,              0.0017584,              0.0017584
                     63,                0.32138,                0.24601,                0.32974,                0.82294,                0.90969,                0.94286,                0.94105,                0.81214,                0.90969,                0.94286,                0.94105,                0.85222,                0.55128,                 1.0827,                0.57385,                0.86399,              0.0017545,              0.0017545,              0.0017545
                     64,                0.33702,                0.24119,                0.33505,                0.82706,                0.93617,                0.91429,                0.94876,                0.84626,                0.93617,                0.91429,                0.94876,                0.88365,                0.55786,                0.80174,                0.53298,                0.86085,              0.0017505,              0.0017505,              0.0017505
                     65,                0.37404,                0.31595,                0.35489,                0.82812,                0.91656,                0.94163,                0.95509,                0.84573,                0.91656,                0.94163,                0.95509,                0.86926,                0.56733,                0.82747,                0.51401,                0.85617,              0.0017466,              0.0017466,              0.0017466
                     66,                0.32786,                0.27547,                0.34823,                0.81604,                0.96975,                0.91607,                0.96376,                0.82386,                0.96975,                0.91607,                0.96376,                0.89959,                0.56899,                0.83628,                0.53286,                0.85512,              0.0017426,              0.0017426,              0.0017426
                     67,                0.33732,                0.23821,                0.34811,                0.82389,                 0.9165,                0.94089,                0.94628,                0.82964,                 0.9165,                0.94089,                0.94628,                0.86938,                0.53709,                 1.0975,                0.50771,                0.84617,              0.0017386,              0.0017386,              0.0017386
                     68,                0.32332,                0.29173,                0.33511,                0.82018,                0.96787,                0.91429,                0.94485,                0.83317,                0.96787,                0.91429,                0.94039,                0.86304,                0.55113,                  1.443,                0.51267,                0.85563,              0.0017347,              0.0017347,              0.0017347
                     69,                0.33683,                0.24398,                0.33921,                0.82706,                0.96649,                0.91429,                0.94602,                0.82871,                0.96649,                0.91429,                0.94352,                0.86743,                0.58659,                 1.3932,                0.55708,                0.87767,              0.0017307,              0.0017307,              0.0017307
                     70,                0.35728,                0.25622,                0.34049,                0.82659,                0.99821,                0.91429,                0.94565,                0.83169,                0.99821,                0.91429,                0.94565,                 0.8688,                0.56564,                 1.2766,                0.51204,                0.87975,              0.0017268,              0.0017268,              0.0017268
                     71,                0.34004,                0.27735,                0.33872,                0.82882,                0.97049,                0.93981,                 0.9482,                0.83799,                0.99985,                0.91429,                0.94737,                   0.86,                0.54097,                 1.2126,                0.52356,                0.87816,              0.0017228,              0.0017228,              0.0017228
                     72,                0.35309,                0.28926,                0.34762,                0.83068,                0.96955,                0.90975,                0.94332,                0.86576,                0.96955,                0.90975,                0.94332,                0.86584,                0.52152,                 1.1789,                0.53402,                 0.8727,              0.0017188,              0.0017188,              0.0017188
                     73,                0.37057,                0.28813,                0.36956,                0.83261,                0.93601,                0.94286,                0.94341,                0.83015,                0.91287,                0.94286,                0.94184,                0.86164,                 0.5632,                 1.2344,                0.49697,                0.87819,              0.0017149,              0.0017149,              0.0017149
                     74,                0.36326,                0.28288,                0.35236,                0.83555,                 0.9696,                0.91128,                0.94305,                0.83778,                 0.9696,                0.91128,                0.94305,                0.82922,                0.55317,                 1.3583,                0.50519,                0.87498,              0.0017109,              0.0017109,              0.0017109
                     75,                0.34573,                0.27776,                0.33904,                0.84375,                0.94256,                0.93775,                0.95686,                0.84913,                0.94256,                0.93775,                0.95686,                0.83477,                0.53801,                 1.0228,                0.46561,                 0.8722,               0.001707,               0.001707,               0.001707
                     76,                0.34404,                0.25989,                0.34162,                0.84007,                0.97509,                0.94286,                0.97324,                0.86255,                0.97509,                0.94286,                0.97324,                0.86083,                0.52841,                0.89183,                0.46474,                0.86846,               0.001703,               0.001703,               0.001703
                     77,                 0.3321,                0.24688,                 0.3314,                0.82674,                0.91874,                0.96913,                0.97734,                 0.8644,                0.91874,                0.96913,                0.97734,                0.89059,                0.49482,                0.81862,                0.45972,                0.85648,               0.001699,               0.001699,               0.001699
                     78,                0.30569,                0.23924,                0.31062,                0.82454,                0.93626,                0.91429,                0.97393,                0.87016,                0.93626,                0.91429,                0.97484,                0.89855,                0.51231,                0.76438,                0.46341,                0.85485,              0.0016951,              0.0016951,              0.0016951
                     79,                0.35447,                0.27521,                0.32925,                0.83327,                0.91592,                0.93384,                0.97364,                0.87766,                0.91592,                0.93384,                0.97364,                 0.8849,                 0.5078,                0.73652,                0.47709,                 0.8676,              0.0016911,              0.0016911,              0.0016911
                     80,                0.34931,                0.26545,                0.33667,                0.84207,                0.91217,                0.94286,                0.97049,                0.87532,                0.91217,                0.94286,                0.97049,                0.89453,                0.51946,                0.68745,                0.49026,                0.87097,              0.0016872,              0.0016872,              0.0016872
                     81,                 0.3525,                0.31537,                0.32725,                 0.8192,                0.91446,                0.94286,                0.97651,                0.89024,                0.91446,                0.94286,                0.97651,                0.89189,                 0.5234,                0.75888,                 0.4812,                0.86691,              0.0016832,              0.0016832,              0.0016832
                     82,                0.33224,                0.25325,                 0.3217,                0.83213,                0.96764,                0.94286,                0.98747,                0.90489,                0.96764,                0.94286,                0.98747,                0.90398,                0.45574,                0.64758,                0.42461,                 0.8501,              0.0016792,              0.0016792,              0.0016792
                     83,                0.33669,                0.23802,                0.33232,                0.83681,                0.99393,                0.94286,                0.98987,                0.91379,                0.99393,                0.94286,                0.98987,                0.88645,                0.45546,                0.64054,                0.42421,                0.84972,              0.0016753,              0.0016753,              0.0016753
                     84,                0.34868,                0.25607,                0.32026,                 0.8374,                 0.9872,                0.94286,                0.97311,                0.89218,                 0.9872,                0.94286,                0.97311,                0.89832,                0.48056,                0.70375,                0.44228,                0.86259,              0.0016713,              0.0016713,              0.0016713
                     85,                0.34398,                0.29449,                0.32705,                0.83833,                0.97057,                0.94217,                 0.9645,                0.87755,                0.97057,                0.94217,                 0.9645,                0.88331,                0.48923,                 0.7334,                0.44806,                0.86632,              0.0016674,              0.0016674,              0.0016674
                     86,                0.33165,                0.24335,                0.31585,                 0.8321,                0.97052,                0.94065,                0.96099,                0.87141,                0.97052,                0.94065,                0.96099,                0.88682,                0.49649,                0.72894,                0.46294,                0.87245,              0.0016634,              0.0016634,              0.0016634
                     87,                0.31559,                0.22851,                0.30146,                0.83524,                      1,                0.93795,                0.95025,                0.81557,                      1,                0.93795,                0.95025,                0.86387,                0.57567,                0.81095,                0.48482,                0.88968,              0.0016594,              0.0016594,              0.0016594
                     88,                 0.3306,                0.26648,                0.32027,                0.82737,                0.99895,                0.88571,                0.94504,                0.81179,                0.99895,                0.88571,                0.94504,                0.85677,                0.60264,                0.89201,                0.53078,                0.89311,              0.0016555,              0.0016555,              0.0016555
                     89,                0.32702,                0.26306,                0.32378,                0.82938,                0.96644,                0.85714,                0.93775,                0.83009,                0.96644,                0.85714,                0.93775,                  0.849,                0.56361,                 0.8468,                0.53129,                0.88931,              0.0016515,              0.0016515,              0.0016515
                     90,                0.32984,                0.30015,                 0.3193,                0.82331,                0.99307,                0.85714,                  0.943,                0.80506,                0.99307,                0.85714,                  0.943,                0.85339,                0.59197,                 0.8518,                0.52853,                0.88509,              0.0016476,              0.0016476,              0.0016476
                     91,                0.31701,                0.23788,                0.32006,                0.82277,                      1,                0.94039,                0.96916,                 0.8442,                      1,                0.94039,                0.96916,                0.86848,                0.57635,                0.86482,                0.46099,                0.87704,              0.0016436,              0.0016436,              0.0016436
                     92,                0.33047,                0.24142,                0.32246,                0.83633,                0.99375,                0.94286,                0.96577,                0.85052,                0.99375,                0.94286,                0.96502,                0.85431,                 0.5685,                0.85789,                0.47545,                0.88594,              0.0016396,              0.0016396,              0.0016396
                     93,                0.32725,                0.28115,                0.31023,                0.81858,                0.99454,                0.91429,                0.93052,                0.81786,                0.99454,                0.91429,                0.92906,                0.82261,                0.59377,                 1.1979,                0.58215,                0.89564,              0.0016357,              0.0016357,              0.0016357
