                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.29858,                0.21526,                0.36461,                0.80846,                0.98268,                      1,                  0.995,                0.94512,                0.98268,                      1,                  0.995,                  0.995,                0.42893,                0.39195,                0.34573,                0.86274,              0.0007922,              0.0007922,              0.0007922
                     63,                0.29202,                0.20467,                0.35795,                0.82902,                0.98286,                      1,                  0.995,                0.94512,                0.98286,                      1,                  0.995,                  0.995,                0.42186,                0.42605,                0.35171,                  0.865,              0.0007724,              0.0007724,              0.0007724
                     64,                0.29248,                0.23723,                 0.3501,                0.82544,                0.98293,                      1,                  0.995,                0.94513,                0.98293,                      1,                  0.995,                  0.995,                0.33393,                0.47331,                0.35948,                0.84215,              0.0007526,              0.0007526,              0.0007526
                     65,                0.27162,                0.24507,                0.33945,                0.82287,                0.98287,                      1,                  0.995,                0.94513,                0.98287,                      1,                  0.995,                  0.995,                0.34564,                0.47508,                0.36723,                0.84216,              0.0007328,              0.0007328,              0.0007328
                     66,                0.28448,                0.19827,                0.35485,                0.80638,                0.98278,                      1,                  0.995,                0.94513,                0.98278,                      1,                  0.995,                  0.995,                0.35562,                0.45149,                0.33522,                0.83821,               0.000713,               0.000713,               0.000713
                     67,                0.28721,                0.20634,                0.34188,                0.82378,                0.98304,                      1,                  0.995,                0.94513,                0.98304,                      1,                  0.995,                  0.995,                0.36688,                0.44425,                0.32837,                0.83762,              0.0006932,              0.0006932,              0.0006932
                     68,                0.27413,                0.18631,                0.34024,                0.81536,                0.98311,                      1,                  0.995,                0.94512,                0.98311,                      1,                  0.995,                0.94823,                0.35258,                0.47252,                0.34487,                0.83912,              0.0006734,              0.0006734,              0.0006734
                     69,                0.25423,                0.17319,                0.31184,                0.78228,                0.98297,                      1,                  0.995,                0.94512,                0.98297,                      1,                  0.995,                  0.995,                0.33252,                0.47745,                0.37992,                 0.8308,              0.0006536,              0.0006536,              0.0006536
                     70,                0.25736,                0.21085,                0.31993,                0.80851,                 0.9829,                      1,                  0.995,                0.94513,                 0.9829,                      1,                  0.995,                0.94955,                0.35295,                0.52244,                0.29563,                0.84184,              0.0006338,              0.0006338,              0.0006338
                     71,                0.26112,                0.19035,                0.31349,                0.80157,                0.98289,                      1,                  0.995,                0.94513,                0.98289,                      1,                  0.995,                0.95333,                0.36572,                0.52996,                0.27887,                0.84393,               0.000614,               0.000614,               0.000614
